sentiment,title,body
negative,Give it a few months.,"Straight and simple: Wait for a couple more patches. It has the potential to be a great game, but the game is presently just loaded with bugs that Activision was just too lazy to fix in the Beta versions.Buy it, but not yet."
positive,Works as advertised,"However getting it back into the case following use is difficult because of the small case size. I use it when on the ""trail"" but would advise something more durable for use at home."
positive,very good product,I bought this product on the recommendation of a friend. I have frizzy hair and when I wash my hair with it the hair feels very smooth and soft. I love the fact that cleanser and conditioner are all in one. Saves time. Great product.
positive,A Great Way to Learn and Practice Ericksonian Hypnosis Language .,"The authentic Zebu Cards as Robert Anue first published them. As a NLP Practitioner and Trainer, I use these cards in my seminars to support and expand on the Milton Model language skills. A great fun and portable game that will get you thinking, speaking and influencing in a whole different way."
negative,"They call him boss....BOSS ""N"" WORD!!!","This is a movie that I KNEW was gonna be a hoot!BOY WAS I WRONG!!!!It was too serious to be funny ant too funny to be serious. The acting from Boss was great but there was too much silly stuff and the sund quality was not great, even for an older movie.I think a remake would be good. Make it serious with just a few jokes in it."
negative,A poor and cynical effort,"Though it has a few decent points, this book feels like a vanity press publication that, in the main, is little more than the author ranting about how Hollywood doesn't appreciate his immense genius, even though that genius has produced nothing other than Stigmata (a film, I should add, whose deep, dark secret - the Gospel of Thomas - is so secret that it has been available as a paperback for many, many years). At one point he claims that most books about screenwriting are merely cynical attempts for failing screenwriters to make a fast buck. He adds that this book is not one of them. He is wrong, it is."
positive,Matt's Mario Hoops Review,I am 7 years old and I love this video game. It is challenging in all sorts of ways. I like to do special shots as Yoshi. I would recommend this video game to any kids who like basketball and Mario games. There are different kinds of courts when you get better at the game. There are different players when you get to a different tournaments. Enjoy the game!
positive,*THIS IS A MUST READ!*,"This book is a well-written one about a 13 yr. old grl called Dawn. She expresses what she does with her friends and family. She meets new friends like the postitive grl, Amalia. This book tells us about what Dawn's point of view of everything. This is a good chanz to find out what Dawn is thinking about her family and friends. This book is actually funny and interesting to read! If I were u, I would get this one and read it!"
negative,Leaks like crazy,If you don't have this sitting exactly at the right angle it leaks! It doesn't matter if it's full to the top or 1/2 empty... it constantly drips!!!!
positive,good,"Arrived earlier than expected. Ordered this as a back-up for when my Andis clippers heat up and I'm able to change the other blade with this one. CeramicEdge is supposed to be better, but I don't really know the difference."
positive,ONE OF THE BEST CDs I HAVE HEARD,While I have never been a great fan of Baby Face when I heard this particular CD I had to have it. I shall be looking for other CDs by this artist. The CD is one of my favorites.
positive,Amazing Value for Mike Myers Greatest trilogy,Hilarious comedy brought to you by one of Canada's funniest comedians: Mike Myers!
negative,Terrible.,"This movie was...terrible.I can usually tolerate some pretty stupid stuff, but Jenny and Carmen's acting in this movie was atrocious. And it wasn't funny. At least Eddie is a sweetheart."
negative,Please don't waste your money,"I went through one of Bob's programs. I devoted 2 1/2 years of my life there. I was an alcoholic in desperate need of help. Walking into the group seemed like the answer but I've spent the last few years recovering from the Meehan experience. Bob is a sick man, with sick motives. He is not qualified to tell anyone how to get children sober. He is a liar, a cheat, and a thief. He will drain your pocketbooks and dismantle your family with his ""tools of recovery"". He is a cult leader. If you or someone you love is in the program, get out!!!"
positive,AWESOME!!!!,WOW I am a die hard nip tuck fan and i have every season on DVD and this was just the best addition to my collection... there were some pretty interesting episodes but holy cow this show gets more twisted with every episode! I cant wait for season 5 to begin!!! California all the way baby!
negative,It's Defective,"My Son bought me this Seal-A-Meal for Christmas last year. With the price of meat going up, I decided to give it a try this week. Worked fine the first few times, then died an untimely death leaving me with 5 pounds of hamburger in 1 pound packs needing to be sealed. Let it sit thinking it maybe needed a break, but no, it just doesn't work any more. I loved it while it worked, it was great. Don't love it now, and wouldn't buy another as it's not dependable. Contacted Rival Customer Service, but they only quoted the trouble shooting page of the appliance hand book, so no help from them. Wish I could report differently, but I've not had a good experience with this product."
negative,Video,"Well, lets see... I have not seen this before but I know how this movie goes. This big flower can't do anything himself so... he hypnotizes people to do dirty work. I heard rumors that Rini isn't in this episode so... that's why the stars are so... low. I don't know what the Geneon Signature Series are."
negative,WORST ELECTRIC RAZOR I'VE EVER OWNED,"I had this razor for a year and just threw it away. From the start, the beard trimmer would pop-up unexpectantly. After six months, the trimmer wouldn't lock back in at all. If the battery were dead, I couldn't just plug the razor in the wall and use it; I would have to wait several hours for it to charge up. It had difficulty cutting just two days of stubble. The foils are not particularly durable. The rear foil in particular would develope a massive hole every 2-3 months. This is the first electric razor I've owned that was truly a piece of junk."
positive,I Did Not Want to Like This Show,"After The Practice went out and became so tired and this show was pegged to be a spinoff I had no intention of even watching, let alone liking it. It seemed like a showcase for actors past their prime. Put simply, I was wrong. It is a smartly written show and James Spader and William Shatner could not be better. That goes for the supporting cast, too. It is one of the few shows I look forward to each week. I dont know that it has the drama that the Practice had but its certainly more entertaining overall and easily one of the best shows on tv. It deserves any Emmy it gets."
positive,Absolutely fantastic!,"This album is like a dream come true. The combination of Ella Fitzgerald's voice, clear, true and haunting with Cole Porter's complex, enchanting lyrics is truly incomparable. It has become one of my favorites."
negative,Extremely dissatisfied,"The product was not received. I am still waiting to hear from the shipper. No contact number, no tracking number, nothing. This purchase has cost me much inconvenience and grief. I need some kind of compensation for this."
